Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Price_USD,Delay_Minutes,Weather_Impact
Southwest,ORD,SEA,6/7/2024 17:01,168,On-time,239.62,15,1
JetBlue,JFK,LAX,17/9/2023 20:49,208,On-time,346.45,7,0
American Airlines,DEN,JFK,9/7/2023 21:29,53,On-time,556.49,18,0
JetBlue,SEA,DFW,27/12/2023 14:08,162,Delayed,381.31,1,0
American Airlines,SEA,SEA,26/8/2023 22:13,126,On-time,466.09,7,0
JetBlue,SEA,DEN,28/5/2023 2:26,40,On-time,306.51,6,0
JetBlue,LAX,DEN,16/12/2024 14:40,244,On-time,415.68,6,0
Delta,DEN,ATL,19/8/2024 1:13,139,On-time,231.24,5,0
American Airlines,ORD,ORD,11/8/2023 11:22,212,On-time,294.32,1,0
Delta,SFO,SEA,20/6/2024 1:26,99,Cancelled,204.67,2,0
Delta,LAX,SFO,4/8/2023 12:59,174,On-time,442.68,14,0
Delta,LAX,ORD,2/2/2025 1:57,135,Delayed,308.44,12,1
Southwest,DFW,ORD,17/1/2024 14:50,211,On-time,342.63,2,0
Southwest,LAX,LAX,22/7/2024 18:58,126,On-time,303.37,5,0
Southwest,ATL,SEA,29/7/2023 8:51,134,Delayed,433.22,11,0
Southwest,DEN,DFW,27/6/2024 23:25,173,On-time,177.51,7,0
Southwest,DFW,LAX,2/1/2025 23:31,146,On-time,407.11,3,0
United,SEA,JFK,29/7/2024 10:43,149,On-time,329.35,19,1
Southwest,DEN,DFW,18/6/2023 10:00,238,On-time,346.56,15,0
American Airlines,DEN,SFO,20/12/2024 13:36,185,On-time,313.41,1,0
Southwest,ORD,LAX,25/1/2025 13:48,159,On-time,497.17,4,1
JetBlue,DFW,ATL,5/11/2023 4:23,131,On-time,430.89,6,0
American Airlines,JFK,LAX,7/6/2023 9:11,51,On-time,509.08,8,0
JetBlue,DEN,SEA,19/9/2023 16:32,226,Cancelled,307.42,4,0
JetBlue,JFK,SEA,24/3/2025 9:44,143,Cancelled,293.08,2,0
Southwest,LAX,JFK,14/11/2023 8:46,174,Delayed,579.91,36,0
JetBlue,SEA,DEN,20/12/2024 21:39,270,On-time,527.53,21,0
United,DEN,DEN,22/2/2025 20:21,142,On-time,294.64,1,1
Delta,SEA,JFK,19/10/2024 10:01,121,On-time,216.00,5,0
Southwest,SFO,SFO,9/9/2023 22:37,167,On-time,344.52,2,0
United,SFO,ATL,23/6/2023 5:06,208,Delayed,362.04,8,0
American Airlines,SEA,LAX,27/6/2024 23:09,155,On-time,448.93,2,0
American Airlines,DEN,ORD,13/9/2023 15:21,97,On-time,322.53,28,0
United,ATL,DFW,4/9/2024 16:24,189,On-time,595.33,10,0
JetBlue,JFK,ATL,21/4/2025 17:55,259,Cancelled,403.06,15,0
United,DEN,DFW,14/7/2023 11:29,210,Delayed,366.78,5,0
United,JFK,JFK,2/3/2025 0:32,227,On-time,304.33,1,0
Delta,SFO,LAX,8/11/2024 5:29,47,On-time,439.19,22,0
United,SEA,ATL,11/2/2025 2:31,206,On-time,404.69,12,0
JetBlue,DFW,DFW,3/8/2023 12:37,140,On-time,311.14,10,0
United,ATL,DEN,25/9/2023 17:32,86,On-time,337.34,10,0
JetBlue,DEN,DEN,23/12/2024 20:04,122,On-time,407.83,8,0
JetBlue,LAX,JFK,8/2/2025 12:59,89,Cancelled,380.63,4,0
Delta,DFW,ATL,26/7/2024 18:07,282,On-time,272.47,11,0
American Airlines,JFK,ATL,25/3/2025 18:56,147,On-time,229.64,14,0
Delta,LAX,DEN,27/12/2024 3:18,164,On-time,271.94,4,0
Delta,JFK,ATL,9/3/2025 9:56,165,On-time,400.08,7,0
United,LAX,DEN,24/10/2024 20:23,143,On-time,416.95,0,0
Southwest,ATL,ORD,16/1/2025 23:56,129,On-time,392.71,8,0
Southwest,SEA,JFK,26/6/2023 7:22,187,Cancelled,341.13,1,0
Delta,LAX,LAX,19/5/2024 16:33,208,Delayed,550.74,2,1
JetBlue,ORD,LAX,3/10/2024 15:31,203,Cancelled,285.89,4,0
Southwest,SEA,DEN,8/6/2024 17:53,219,On-time,420.03,0,1
JetBlue,DEN,LAX,21/2/2025 23:28,171,On-time,274.98,23,0
JetBlue,DFW,ORD,21/3/2025 6:50,237,On-time,220.14,6,1
Southwest,DEN,ORD,24/1/2024 1:41,228,On-time,366.03,2,0
Southwest,ATL,ORD,25/11/2023 10:43,139,On-time,408.12,21,0
American Airlines,JFK,DEN,18/5/2023 3:05,185,On-time,163.66,40,0
United,ATL,JFK,25/10/2024 15:40,197,On-time,298.91,9,0
United,JFK,SEA,1/11/2023 6:39,125,On-time,413.69,13,1
American Airlines,DFW,LAX,10/11/2023 21:43,181,On-time,189.04,2,0
American Airlines,LAX,LAX,13/7/2023 23:07,189,On-time,386.37,4,1
United,LAX,SEA,26/7/2024 10:01,155,On-time,431.26,10,0
Delta,SFO,LAX,10/9/2024 11:19,159,On-time,422.83,27,0
United,JFK,ORD,27/7/2023 7:01,151,On-time,371.82,1,0
American Airlines,DEN,LAX,16/9/2024 12:01,116,On-time,305.94,0,1
JetBlue,SEA,SFO,8/3/2024 18:04,149,On-time,403.60,3,1
JetBlue,JFK,ORD,1/8/2023 11:25,141,On-time,522.67,7,0
JetBlue,ATL,SFO,14/11/2023 8:18,108,On-time,567.90,11,0
Delta,SFO,SFO,4/10/2024 12:59,247,On-time,533.32,0,1
American Airlines,ORD,ORD,4/1/2025 23:02,158,On-time,302.44,22,0
JetBlue,DEN,DFW,19/1/2025 23:02,102,On-time,426.86,7,0
Delta,SFO,JFK,24/12/2024 20:59,248,On-time,302.90,15,0
United,LAX,SEA,26/2/2024 1:32,153,On-time,372.33,15,1
American Airlines,LAX,JFK,17/3/2025 12:16,142,On-time,419.23,12,0
Southwest,ATL,LAX,6/10/2023 0:32,178,On-time,304.43,1,0
American Airlines,LAX,DFW,20/9/2023 4:45,290,On-time,393.92,3,1
United,SEA,SEA,8/11/2024 17:48,297,On-time,325.70,4,1
JetBlue,DEN,DEN,27/3/2025 0:55,114,Cancelled,541.42,10,0
American Airlines,SEA,ORD,31/7/2024 16:00,197,On-time,588.47,4,0
American Airlines,ATL,JFK,30/9/2023 3:18,250,Delayed,309.76,2,0
Delta,DEN,LAX,18/1/2024 7:12,60,Delayed,353.18,21,0
Delta,DEN,LAX,9/11/2023 18:07,135,On-time,303.93,0,0
JetBlue,DEN,SEA,14/2/2025 21:07,122,On-time,344.44,5,0
American Airlines,LAX,DFW,4/1/2024 6:30,165,On-time,248.50,13,0
Southwest,JFK,LAX,10/5/2023 10:02,198,Delayed,233.47,9,0
Delta,JFK,ORD,26/4/2023 12:42,180,On-time,262.24,3,0
United,LAX,LAX,28/10/2024 6:55,212,On-time,268.55,21,0
JetBlue,ORD,JFK,18/8/2024 20:59,254,On-time,285.36,5,0
American Airlines,LAX,ATL,7/9/2024 6:52,119,On-time,341.33,2,0
Delta,LAX,LAX,8/1/2024 17:36,95,On-time,411.42,16,0
JetBlue,DEN,SFO,12/10/2024 22:02,152,Delayed,409.25,27,0
American Airlines,DFW,LAX,31/12/2024 5:05,215,Delayed,363.93,6,0
Southwest,DFW,DEN,4/2/2025 12:27,146,On-time,256.83,17,0
JetBlue,ATL,SFO,17/4/2025 21:17,159,On-time,295.51,2,0
JetBlue,SEA,SFO,24/7/2024 10:54,193,On-time,448.78,1,0
Delta,LAX,JFK,13/2/2024 2:57,221,On-time,446.82,5,0
JetBlue,DFW,LAX,24/7/2023 13:13,193,Delayed,273.54,20,0
JetBlue,SEA,SFO,14/2/2024 8:42,202,On-time,485.70,15,0
American Airlines,DEN,DFW,17/6/2024 4:10,90,Delayed,543.03,0,0
Southwest,ATL,SEA,19/10/2024 23:59,206,On-time,402.46,30,0
Delta,ATL,ORD,29/4/2023 0:28,165,On-time,270.07,9,0
JetBlue,SFO,DEN,1/3/2024 17:51,205,On-time,477.33,11,0
United,LAX,ATL,26/11/2024 5:41,155,On-time,269.68,41,0
Southwest,ORD,ORD,24/2/2025 16:20,204,Delayed,481.95,27,0
Delta,ORD,SEA,24/9/2024 14:36,232,On-time,330.45,19,0
United,DFW,SFO,5/11/2024 5:24,146,Delayed,239.24,30,0
Delta,JFK,JFK,5/4/2025 6:02,155,On-time,397.99,5,0
United,JFK,SEA,8/3/2025 7:21,128,On-time,487.29,11,0
Southwest,ATL,SEA,23/8/2024 20:52,152,On-time,295.83,7,0
United,SFO,LAX,14/4/2024 18:55,242,On-time,349.33,18,1
Delta,LAX,LAX,6/2/2025 12:37,245,Delayed,246.57,4,1
Delta,JFK,SEA,15/3/2025 6:00,174,On-time,273.99,8,0
Southwest,ATL,LAX,22/2/2024 7:29,146,Delayed,426.36,30,0
Southwest,JFK,LAX,10/8/2023 12:25,147,On-time,373.31,3,1
American Airlines,DFW,DFW,9/10/2023 11:04,151,On-time,266.73,19,0
United,JFK,SEA,21/5/2023 23:28,163,On-time,295.51,1,0
Southwest,DEN,DEN,21/2/2025 7:19,63,On-time,372.85,2,0
United,ATL,LAX,24/11/2024 3:13,78,On-time,339.91,3,0
